From Node ID,To Node ID,Weight
0,43958,1
0,43960,1
0,43985,1
0,43978,-1
0,43966,1
0,43986,1
1,36431,1
1,34419,1
1,35065,1
1,41045,1
1,34482,1
1,37434,1
1,42444,1
1,37906,1
1,37565,1
1,35559,1
1,34908,1
1,35234,1
1,34970,1
1,39111,-1
1,34945,1
1,34919,1
1,35079,1
1,34429,1
1,35076,0
1,37537,1
1,35398,-1
1,38482,1
1,34906,1
1,35358,1
1,35277,0
1,34874,1
1,34407,0
2,36834,1
2,36296,1
2,36689,1
2,37300,1
2,40226,1
2,38543,1
3,40511,-1
3,42319,1
3,42414,1
3,40299,1
3,42520,1
4,40687,1
4,43093,1
4,43598,1
4,40145,1
4,40658,1
4,41754,1
5,43708,1
5,43466,1
5,43023,1
5,42322,1
5,43771,1
5,38208,1
5,43519,1
5,43525,1
5,42001,1
6,37063,1
6,34480,1
6,37256,1
6,37598,1
6,42314,1
6,35862,1
6,37790,1
7,39692,1
7,42874,1
7,43436,1
7,42868,1
7,42887,1
7,43404,1
7,43564,1
7,43068,1
8,41875,1
8,41887,1
8,42897,1
8,42917,1
8,44380,1
8,44443,1
9,41891,1
9,44957,0
9,43499,1
9,42625,1
9,38895,1
9,43019,1
9,44883,1
9,41633,1
9,43069,1
9,42556,1
9,43015,1
9,44185,1
9,43580,0
9,44968,1
9,39191,1
9,42616,1
9,38519,1
9,39295,1
9,43830,1
9,37290,1
9,38568,1
9,42170,1
9,38398,1
9,44086,1
9,43020,1
9,40469,1
9,44016,1
9,42118,1
9,43258,1
9,40839,1
9,40756,1
9,41440,1
9,43947,1
9,41094,1
9,43891,1
9,41893,1
10,41040,0
10,35438,1
10,41504,1
10,41288,1
10,38317,1
11,43141,1
11,43705,1
11,42898,1
11,42875,1
11,43564,1
11,42928,1
11,39241,1
12,44402,1
12,41898,0
12,43705,0
12,42912,1
12,43304,0
12,42947,1
12,40311,1
12,43307,0
12,43803,1
12,42945,1
13,42251,1
13,43741,1
13,42901,1
13,41251,1
13,43525,1
13,41187,1
13,42898,1
14,44259,0
14,39806,1
14,38694,1
14,39306,1
14,38295,1
15,40593,0
15,43702,1
15,43114,1
15,43302,0
15,43705,0
15,40462,1
15,42111,1
15,42381,1
15,40328,0
15,37544,-1
15,44528,0
15,44380,1
15,43874,-1
15,42917,1
16,41247,1
16,43321,0
16,41249,0
16,40542,1
16,42017,0
16,43030,0
16,41881,-1
16,40997,-1
16,41191,-1
16,42152,1
17,37033,1
17,35988,1
17,35991,1
17,35772,1
17,37284,0
17,35868,1
18,38824,1
18,41184,-1
18,38237,1
18,38070,1
18,38167,1
18,37964,1
18,36421,1
18,38211,-1
18,37526,1
18,36987,0
18,37455,0
18,39263,-1
18,39444,1
18,39346,0
18,38333,1
18,40060,-1
18,38166,1
18,38164,1
19,44448,1
19,41125,1
19,40265,1
19,43385,1
19,43788,1
19,40123,1
20,34609,0
20,40570,1
20,35673,1
20,34392,1
20,34608,1
21,41649,1
21,35089,1
21,34383,1
21,37601,1
21,34310,1
21,41827,1
21,36455,1
22,37922,1
22,39395,1
22,38368,1
22,39231,1
22,39955,0
22,41155,-1
22,41601,1
22,37739,-1
22,41437,1
22,38921,1
22,41554,1
23,35694,1
23,37706,1
23,36087,1
23,35696,1
23,37290,1
23,35697,1
23,38156,1
23,37104,1
23,40299,1
24,44806,1
24,44357,1
24,42703,1
24,42246,1
24,44549,1
25,37652,1
25,36059,1
25,36132,1
25,37225,1
25,36121,0
25,36576,1
25,37686,1
26,42453,1
26,38802,1
26,43415,1
26,41099,1
26,41122,1
26,41090,1
26,41146,1
26,41097,1
26,42864,1
26,39726,1
26,42118,1
26,40894,1
26,43020,1
26,40119,1
27,40096,1
27,42111,1
27,41541,0
27,38527,1
27,40963,1
27,38344,1
27,41915,1
27,40653,1
27,41005,1
27,34683,1
27,39185,1
27,44042,1
27,41770,0
27,38259,1
27,41817,1
27,39438,1
27,41657,1
27,40320,1
27,39339,1
27,43460,1
27,39011,1
27,41579,1
27,35358,1
27,41179,1
27,40898,1
27,43940,1
27,40897,1
27,39470,1
27,39378,1
27,43684,1
27,41196,1
27,41192,1
27,41556,1
27,41794,-1
27,42698,1
27,40125,1
28,40103,1
28,38045,-1
28,40452,0
28,40270,1
28,40685,1
28,37295,1
28,37102,1
28,36244,1
28,36251,1
28,38941,1
28,40147,1
28,36262,1
28,40484,1
28,40122,1
28,37714,1
28,39624,1
29,41395,1
29,42716,1
29,40081,1
29,37219,1
29,39182,1
30,44610,1
30,41240,1
30,42862,1
30,40116,0
30,40865,1
31,39362,1
31,38164,1
31,40612,1
31,40648,1
31,40000,1
31,41084,1
31,42338,1
31,38816,1
31,40557,1
31,42004,1
31,39248,1
31,41286,1
32,38981,1
32,39481,0
32,39401,1
32,42283,1
32,44089,1
33,42965,1
33,40029,1
33,42462,1
33,42904,1
33,40216,1
33,42956,1
33,39745,-1
33,38845,-1
33,43537,1
33,44510,1
33,43129,1
33,42036,1
33,39482,1
33,40355,1
34,41793,1
34,34986,1
34,41187,1
34,39736,1
34,41510,0
34,40728,1
34,38033,1
34,41639,0
34,39319,0
34,42000,1
35,38570,0
35,42769,1
35,39069,-1
35,40308,1
35,40895,1
35,42786,-1
36,36314,1
36,36127,1
36,35468,1
36,36216,1
36,35936,0
36,36174,1
37,43951,1
37,43965,1
37,34599,1
37,43482,1
37,43962,1
37,44651,0
37,44065,1
37,44072,1
37,44132,1
37,44032,1
37,44650,1
37,42847,1
37,44681,1
37,43949,1
37,43948,1
37,44680,1
37,44769,1
37,44768,1
37,44772,1
37,35523,1
38,42787,1
38,40156,0
38,39914,1
38,40410,1
38,39678,1
39,35649,1
39,35683,1
39,35643,1
39,35648,1
39,35658,1
40,36510,1
40,36570,1
40,38093,1
40,36949,1
40,36024,1
40,35817,1
40,36004,1
40,35522,1
40,35362,1
40,37946,1
40,37792,1
40,35220,0
40,35344,1
41,43504,-1
41,42420,1
41,44324,-1
41,35016,1
41,41844,1
41,42873,0
42,39472,-1
42,41440,0
42,40969,1
42,42750,0
42,39748,1
43,44256,1
43,43473,0
43,41893,1
43,44220,1
43,41125,1
43,44565,1
43,40623,1
44,43569,1
44,40325,-1
44,41942,1
44,44358,1
44,41246,1
44,41186,1
44,41202,1
44,41185,1
44,41252,1
44,40542,1
44,41878,1
44,39452,1
44,40641,1
44,38992,1
44,41182,1
44,39127,1
44,41869,1
44,39748,1
44,41187,1
44,43707,1
44,41864,1
44,41905,1
44,40385,1
44,41200,1
