From Node ID, To Node ID, Edge Weight
10256,338,1
10256,107,-1
10256,303,-1
10256,389,-1
10256,307,-1
10256,105,-1
10256,299,-1
10256,110,-1
10256,336,-1
10256,112,-1
10256,415,-1
10256,300,-1
10256,417,-1
10365,307,-1
10365,300,-1
10365,415,-1
10365,336,1
10365,110,-1
10365,299,-1
10365,417,-1
10365,105,-1
10365,107,-1
10365,112,-1
10365,303,-1
10365,338,-1
10365,389,-1
4054,338,1
4054,415,-1
4054,107,-1
4054,299,-1
4054,110,-1
4054,336,-1
4054,303,-1
4054,300,-1
4054,417,-1
4054,389,-1
4054,307,-1
4054,112,-1
4054,105,-1
5409,105,-1
5409,112,-1
5409,336,-1
5409,307,-1
5409,110,-1
5409,417,-1
5409,338,1
5409,303,-1
5409,300,-1
5409,389,-1
5409,299,-1
5409,415,-1
5409,107,-1
5932,107,-1
5932,300,-1
5932,112,-1
5932,105,-1
5932,299,-1
5932,389,-1
5932,303,-1
5932,307,-1
5932,415,-1
5932,336,-1
5932,110,-1
5932,338,1
5932,417,-1
11561,417,-1
11561,307,-1
11561,112,-1
11561,110,-1
11561,415,-1
11561,338,1
11561,300,-1
11561,336,-1
11561,107,-1
11561,299,-1
11561,389,-1
11561,105,-1
11561,303,-1
3919,303,-1
3919,112,-1
3919,417,-1
3919,336,-1
3919,338,-1
3919,105,-1
3919,415,-1
3919,299,-1
3919,300,-1
3919,110,-1
3919,389,1
3919,307,-1
3919,107,-1
10360,110,-1
10360,417,-1
10360,338,1
10360,112,-1
10360,303,-1
10360,307,-1
10360,415,-1
10360,299,-1
10360,107,-1
10360,300,-1
10360,389,-1
10360,336,-1
10360,105,-1
11118,417,-1
11118,107,-1
11118,299,-1
11118,336,-1
11118,112,-1
11118,307,-1
11118,389,-1
11118,110,-1
11118,105,-1
11118,300,-1
11118,338,1
11118,303,-1
11118,415,-1
5937,110,-1
5937,336,-1
5937,105,-1
5937,338,1
5937,417,1
5937,107,-1
5937,389,-1
5937,299,-1
