original node ID, percentage node was in agreeable majority
105,100.0
1003,100.0
1008,100.0
1036,100.0
1058,100.0
1090,100.0
1102,100.0
1155,100.0
1182,100.0
1183,100.0
1203,100.0
1206,100.0
1209,100.0
1216,100.0
1255,100.0
1278,100.0
1283,100.0
1287,100.0
1313,100.0
1395,100.0
1417,100.0
1422,100.0
1430,100.0
1433,100.0
1455,100.0
1471,100.0
1489,100.0
1516,100.0
1549,100.0
1601,100.0
1634,100.0
1654,100.0
1656,100.0
1665,100.0
1688,100.0
1689,100.0
1693,100.0
1700,100.0
1706,100.0
1726,100.0
1753,100.0
1754,100.0
1782,100.0
1831,100.0
1851,100.0
1867,100.0
1874,100.0
1910,100.0
1931,100.0
1937,100.0
1964,100.0
1965,100.0
1986,100.0
1998,100.0
2000,100.0
2001,100.0
2013,100.0
2014,100.0
2016,100.0
2025,100.0
2036,100.0
2070,100.0
2080,100.0
2094,100.0
2107,100.0
2144,100.0
2197,100.0
2198,100.0
2225,100.0
2230,100.0
2250,100.0
2270,100.0
2274,100.0
2284,100.0
2285,100.0
2295,100.0
2301,100.0
2309,100.0
2310,100.0
2348,100.0
2355,100.0
2360,100.0
2361,100.0
2372,100.0
2382,100.0
2392,100.0
2395,100.0
2400,100.0
2420,100.0
2423,100.0
2441,100.0
2445,100.0
2447,100.0
2483,100.0
2505,100.0
2514,100.0
2522,100.0
2523,100.0
2524,100.0
2534,100.0
2565,100.0
2573,100.0
2577,100.0
2605,100.0
2619,100.0
2624,100.0
2628,100.0
2640,100.0
2641,100.0
2658,100.0
2665,100.0
2677,100.0
2686,100.0
2695,100.0
2704,100.0
2714,100.0
2724,100.0
2736,100.0
2759,100.0
2786,100.0
2796,100.0
2806,100.0
2807,100.0
2811,100.0
2821,100.0
2830,100.0
2832,100.0
2838,100.0
2862,100.0
2869,100.0
2879,100.0
2884,100.0
2891,100.0
2897,100.0
2904,100.0
2917,100.0
2930,100.0
2942,100.0
2946,100.0
2964,100.0
2995,100.0
3028,100.0
3031,100.0
3061,100.0
3070,100.0
3074,100.0
3080,100.0
3085,100.0
3092,100.0
3108,100.0
3118,100.0
3120,100.0
3148,100.0
3180,100.0
3187,100.0
3222,100.0
3229,100.0
3233,100.0
3267,100.0
3268,100.0
3288,100.0
3289,100.0
3291,100.0
3315,100.0
3320,100.0
3324,100.0
3343,100.0
3359,100.0
3363,100.0
3404,100.0
3406,100.0
3418,100.0
3420,100.0
3422,100.0
3431,100.0
3439,100.0
3447,100.0
3453,100.0
3463,100.0
3467,100.0
3479,100.0
3486,100.0
3537,100.0
3551,100.0
3552,100.0
3554,100.0
3559,100.0
3569,100.0
3596,100.0
3608,100.0
3610,100.0
3627,100.0
3693,100.0
3707,100.0
3709,100.0
3736,100.0
3756,100.0
3781,100.0
3801,100.0
3813,100.0
3821,100.0
3835,100.0
3879,100.0
3880,100.0
3900,100.0
3906,100.0
3919,100.0
3928,100.0
3930,100.0
3944,100.0
3977,100.0
3993,100.0
4015,100.0
4017,100.0
4050,100.0
4054,100.0
4058,100.0
4061,100.0
4105,100.0
4134,100.0
4145,100.0
4156,100.0
4168,100.0
4169,100.0
4174,100.0
4230,100.0
4242,100.0
4267,100.0
4318,100.0
4320,100.0
4341,100.0
4364,100.0
4414,100.0
4427,100.0
4431,100.0
4483,100.0
4499,100.0
4513,100.0
4521,100.0
4535,100.0
4572,100.0
4581,100.0
4586,100.0
4613,100.0
4620,100.0
4626,100.0
4654,100.0
4662,100.0
4697,100.0
4699,100.0
4705,100.0
4722,100.0
4725,100.0
4773,100.0
4774,100.0
4781,100.0
4787,100.0
4819,100.0
4821,100.0
4835,100.0
4845,100.0
4847,100.0
4857,100.0
4895,100.0
4898,100.0
4938,100.0
4945,100.0
4993,100.0
5024,100.0
5034,100.0
5039,100.0
5055,100.0
5067,100.0
5115,100.0
5118,100.0
5131,100.0
5163,100.0
5164,100.0
5166,100.0
5181,100.0
5191,100.0
5241,100.0
5264,100.0
5281,100.0
5296,100.0
5336,100.0
5337,100.0
5382,100.0
5391,100.0
5393,100.0
5394,100.0
5398,100.0
5409,100.0
5424,100.0
5459,100.0
5489,100.0
5507,100.0
5515,100.0
5523,100.0
5536,100.0
5545,100.0
5560,100.0
5577,100.0
5600,100.0
5651,100.0
5669,100.0
5676,100.0
5688,100.0
5698,100.0
5706,100.0
5708,100.0
5711,100.0
5721,100.0
5726,100.0
5786,100.0
5787,100.0
5792,100.0
5831,100.0
5838,100.0
5839,100.0
5859,100.0
5866,100.0
5877,100.0
5892,100.0
5894,100.0
5905,100.0
5932,100.0
5937,100.0
5948,100.0
5958,100.0
5991,100.0
6002,100.0
6065,100.0
6070,100.0
6077,100.0
6080,100.0
6085,100.0
6109,100.0
6111,100.0
6123,100.0
6133,100.0
6149,100.0
6182,100.0
6206,100.0
6210,100.0
6216,100.0
6219,100.0
6233,100.0
6255,100.0
6258,100.0
6283,100.0
6351,100.0
6384,100.0
6392,100.0
6401,100.0
6434,100.0
6452,100.0
6489,100.0
6493,100.0
6503,100.0
6520,100.0
6529,100.0
6534,100.0
6540,100.0
6547,100.0
6576,100.0
6579,100.0
6619,100.0
6629,100.0
6633,100.0
6637,100.0
6686,100.0
6687,100.0
6690,100.0
6696,100.0
6708,100.0
6726,100.0
6727,100.0
6738,100.0
6740,100.0
6744,100.0
6749,100.0
6754,100.0
6764,100.0
6769,100.0
6794,100.0
6808,100.0
6834,100.0
6859,100.0
6863,100.0
6869,100.0
6870,100.0
6878,100.0
6891,100.0
6928,100.0
6929,100.0
6931,100.0
6945,100.0
6952,100.0
6967,100.0
6983,100.0
6990,100.0
6999,100.0
7000,100.0
7018,100.0
7058,100.0
7063,100.0
7066,100.0
7073,100.0
7082,100.0
7103,100.0
7123,100.0
7140,100.0
7157,100.0
7176,100.0
7188,100.0
7227,100.0
7241,100.0
7306,100.0
7315,100.0
7328,100.0
7335,100.0
7337,100.0
7404,100.0
7407,100.0
7430,100.0
7478,100.0
7488,100.0
7519,100.0
7541,100.0
7627,100.0
7636,100.0
7641,100.0
7651,100.0
7653,100.0
7668,100.0
7691,100.0
7699,100.0
7704,100.0
7735,100.0
7744,100.0
7745,100.0
7750,100.0
7757,100.0
7766,100.0
7771,100.0
7782,100.0
7796,100.0
7807,100.0
7825,100.0
7857,100.0
7864,100.0
7868,100.0
7870,100.0
7897,100.0
7909,100.0
7910,100.0
7922,100.0
7931,100.0
7937,100.0
7940,100.0
7947,100.0
7949,100.0
7957,100.0
7960,100.0
7985,100.0
8017,100.0
